timestamp,open,high,low,close,volume
1758296520,6694.25,6696.75,6694.25,6694.25,6732
1758296700,6694.5,6695.25,6693.25,6694.75,6278
1758296880,6694.75,6696.25,6694.5,6696,5445
1758297060,6696,6698,6695.75,6698,5406
1758297240,6697.75,6699.75,6697.5,6698.75,5845
1758297420,6698.5,6700,6698.5,6700,4087
1758297600,6699.75,6703.25,6699.5,6703,9563
1758297780,6703,6705.25,6702.75,6704.25,8197
1758297960,6704,6706.25,6703.5,6705.75,6281
1758298140,6705.5,6708,6704.25,6707,6241
1758298320,6707,6707.25,6704.75,6707,5760
1758298500,6707,6708.25,6706.25,6707.5,6318
1758298680,6707.5,6709,6707,6708.5,5933
1758298860,6708.5,6711.25,6707.5,6710.75,6804
1758299040,6710.75,6710.75,6708.75,6709.75,4835
1758299220,6709.75,6710.25,6708.5,6709.5,4640
1758299400,6709.5,6710,6706.75,6707,5990
1758299580,6706.75,6709.5,6705.5,6709,5805
1758299760,6708.75,6709.5,6707.5,6708,3093
1758299940,6708,6710.25,6707.25,6709.75,3997
1758300120,6709.5,6710.5,6708.75,6710.5,2876
1758300300,6710.25,6711,6709.25,6710.75,3501
1758300480,6710.75,6712.25,6708.5,6708.75,8634
1758300660,6708.75,6710.25,6708.25,6709.75,3381
1758300840,6710,6710.25,6708.75,6709.5,3251
1758301020,6709.75,6710.25,6708.5,6710,2658
1758301200,6710,6711.5,6709.5,6711,3715
1758301380,6711,6711,6709,6709.25,3769
1758301560,6709.5,6710,6708.5,6708.75,3315
1758301740,6708.75,6709,6706.75,6708.75,4513
1758301920,6708.75,6709.25,6708,6709.25,2112
1758302100,6709.25,6710.25,6708.75,6709.25,3400
1758302280,6709.25,6710,6708.25,6708.75,2820
1758302460,6709,6710.25,6708.75,6709.5,2591
1758302640,6709.5,6710,6708,6708,2216
1758302820,6708.25,6710,6707.25,6709.75,3909
1758303000,6709.75,6711.25,6709.5,6710.75,5656
1758303180,6710.75,6713,6710.25,6711.75,6250
1758303360,6711.75,6713,6710.25,6712.75,3287
1758303540,6712.75,6713.5,6711,6711.25,4189
1758303720,6711.5,6712.5,6710.5,6712.5,2236
1758303900,6712.5,6713.5,6711.5,6712,3645
1758304080,6711.75,6714,6711.75,6714,3220
1758304260,6713.75,6713.75,6712,6712.5,3619
1758304440,6712.5,6712.75,6712,6712.5,2344
1758304620,6712.5,6712.5,6711,6712,4002
1758304800,6711.75,6712.25,6710,6711.75,3905
1758304980,6711.75,6712.5,6710.75,6712,2724
1758305160,6712,6713,6711.25,6711.5,3405
1758305340,6711.75,6712.5,6711.25,6711.75,3258
1758305520,6711.75,6712.75,6711.5,6712.25,2217
1758305700,6712.25,6713.5,6711.75,6712.25,3111
1758305880,6712,6712.75,6710.75,6711.25,2586
1758306060,6711.25,6712.75,6710.75,6711,2729
1758306240,6711,6711,6708.5,6709.25,4657
1758306420,6709.25,6711,6708.75,6710.75,4263
1758306600,6710.75,6712,6709.5,6711.75,3213
1758306780,6711.75,6713.25,6711.25,6713,4148
1758306960,6713.25,6713.75,6712.5,6712.75,2907
1758307140,6712.75,6714.25,6712.25,6713.25,4534
1758307320,6713.25,6714.5,6713,6713.75,4222
1758307500,6713.75,6714.25,6712,6712.25,3767
1758307680,6712.25,6713.25,6711.25,6712,4121
1758307860,6712,6712,6711,6711.5,2982
1758308040,6711.5,6714.25,6711.25,6713.5,3761
1758308220,6713.5,6717,6713.25,6717,6939
1758308400,6716.75,6721.25,6716.25,6718.5,15416
1758308580,6718.5,6718.5,6716.75,6718.25,5214
1758308760,6718.25,6719,6717.25,6718,4399
1758308940,6718.25,6720.75,6718,6720.25,5441
1758309120,6720.25,6720.75,6718.5,6719.75,4517
1758309300,6719.75,6721.75,6719.75,6720.25,5987
1758309480,6720.25,6721.25,6719.75,6720.5,4216
1758309660,6720.5,6720.5,6719.5,6719.75,4298
1758309840,6719.75,6723.5,6719.5,6723.25,7820
1758310020,6723.25,6726.75,6722.5,6724.25,13162
1758310200,6724,6725,6722.25,6723.25,8954
1758310380,6723.25,6724.5,6722,6722.75,6077
1758310560,6722.75,6723,6721.25,6722.5,6533
